beer;beer
beer;ale
beer;altbier
beer;amber ale
beer;berliner weisse
beer;bière de garde
beer;bitter
beer;blonde ale
beer;bock
beer;brown ale
beer;california common
beer;cream ale
beer;doppelbock
beer;dortmunder export
beer;dunkel
beer;dunkelweizen
beer;eisbock
beer;golden ale
beer;gose
beer;gueuze
beer;hefeweizen
beer;helles
beer;india pale ale
beer;kölsch
beer;lager
beer;lambic
beer;light ale
beer;maerzen
beer;maibock
beer;malt liquor
beer;helles bock
beer;märzenbier
beer;mild
beer;old ale
beer;oud bruin
beer;pale ale
beer;pilsner
beer;pilsener
beer;porter
beer;red ale
beer;roggenbier
beer;saison
beer;schwarzbier
beer;scotch ale
beer;steam beer
beer;stout
beer;vienna lager
beer;weissbier
beer;weizenbock
beer;wheat beer
beer;white beer
wine;wine
wine;cider
wine;sake
wine;rose
wine;port
wine;sangria
wine;champagne
wine;cava
wine;prosecco
wine;sherry
wine;vermouth
wine;chardonnay
wine;cabernet sauvignon
wine;sauvignon blanc
wine;pinot noir
wine;syrah
wine;merlot
wine;grenache
wine;sangiovese
wine;riesling
wine;gamay
wine;semillon
wine;pinot gris
liquor;liquor
liquor;vodka
liquor;whisky
liquor;whiskey
liquor;gin
liquor;ouzo
liquor;absinthe
liquor;rum
liquor;brandy
liquor;genever
liquor;cognac
liquor;jagermeister
liquor;tequila
liquor;limoncello
liquor;pisang ambon
liquor;sambuca
liquor;cachaça
liquor;grappa
liquor;absinth
liquor;cachaca
